"Life expectancy data for countries_etc., 4 regions and world",,,,,,Data was combined based on multiple sources in  a large excel file called ,,,,,lex_blending_v11_2020-01-20.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
geo,name,1800,1801,1802,1803,1804,1805,1806,1807,1808,1809,1810,1811,1812,1813,1814,1815,1816,1817,1818,1819,1820,1821,1822,1823,1824,1825,1826,1827,1828,1829,1830,1831,1832,1833,1834,1835,1836,1837,1838,1839,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
afg,Afghanistan,28.21,28.2,28.19,28.18,28.17,28.16,28.15,28.14,28.13,28.12,28.11,28.1,28.09,28.08,28.07,28.06,28.05,28.04,28.03,28.02,28.01,28,27.99,27.98,27.97,27.95,27.94,27.93,27.92,27.91,27.9,27.89,27.88,27.87,27.86,27.85,27.84,27.83,27.82,27.81,27.8,27.79,27.78,27.77,27.76,27.75,27.74,27.73,27.72,27.71,27.7,27.69,27.68,27.67,27.66,27.65,27.64,27.63,27.62,27.61,27.6,27.59,27.58,27.57,27.56,27.54,27.53,27.52,27.51,27.5,27.49,27.56,27.62,27.69,27.75,27.82,27.88,27.94,28.01,28.07,28.14,28.2,28.26,28.33,28.39,28.46,28.52,28.58,28.65,28.71,28.77,28.84,28.9,28.96,29.03,29.09,29.15,29.22,29.28,29.34,29.41,29.47,29.53,29.6,29.66,29.72,29.78,29.85,29.91,29.97,30.03,30.1,30.16,30.22,30.28,30.34,30.41,30.47,7.97,30.59,30.65,30.72,30.78,30.84,30.9,30.96,31.02,31.09,31.15,31.21,31.27,31.33,31.39,31.45,31.51,31.58,31.64,31.7,31.76,31.82,31.88,31.94,32,32.06,32.12,32.18,32.24,32.3,32.36,32.42,32.48,32.87,33.58,34.28,34.99,35.7,36.42,37.14,37.86,38.58,39.31,40.04,40.78,41.51,42.25,42.98,43.72,44.46,45.19,45.92,46.64,46.76,46.76,46.85,46.96,47.13,47.34,47.48,45.87,44.4,44.08,44.89,44.58,42.81,40.52,42.39,43.38,45.54,47.86,51.73,52.58,52.42,52.86,53.15,52.69,53.28,53.82,53.74,52.8,54.43,54.63,54.76,55.65,56.36,56.92,57.35,57.63,58.02,58.75,59.32,59.85,60.39,60.76,61.25,61.21,61.16,61.22,63.38,63.74,64.08,64.41,64.74,65.06,65.36,65.66,65.94,66.21,66.48,66.73,66.97,67.2,67.43,67.65,67.87,68.07,68.28,68.48,68.67,68.86,69.04,69.22,69.4,69.57,69.74,69.9,70.06,70.22,70.37,70.53,70.68,70.83,70.98,71.13,71.27,71.42,71.56,71.7,71.84,71.98,72.11,72.25,72.39,72.53,72.66,72.8,72.94,73.07,73.21,73.34,73.48,73.61,73.74,73.88,74.01,74.15,74.28,74.42,74.56,74.69,74.83,74.96,75.1,75.23,75.37,75.51,75.64,75.78,75.91,76.05,76.18,76.32,76.45,76.59,76.72,76.86,76.99,77.13,77.27,77.41,77.55,77.68
alb,Albania,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.4,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.39,35.38,35.38,19.42,35.38,35.38,35.38,35.38,35.38,35.38,35.38,35.38,35.38,35.38,35.38,36.27,37.17,38.06,38.96,39.85,40.74,41.64,42.53,43.43,42.97,41.97,41.47,39.97,36.97,33.98,46.97,49.96,51.47,52.36,53.26,54.15,54.36,54.83,55.43,56.14,56.97,57.9,58.93,60.02,61.15,62.24,63.26,64.15,64.87,65.42,65.8,66.06,66.26,66.44,66.64,66.89,67.5,68.11,68.72,69.29,69.82,70.32,70.78,71.19,71.46,71.71,71.85,71.96,72.06,72.26,72.44,72.61,72.63,72.85,73.1,73.34,73.01,73.38,73.86,74.47,74.6,74.39,72.54,74.45,74.63,74.9,75.21,75.32,75.41,75.6,76,76.36,76.91,77.03,77.45,77.64,77.73,77.83,77.91,77.92,78.02,78.12,78.23,78.35,78.47,78.58,78.7,78.81,78.93,79.06,79.2,79.34,79.5,79.66,79.82,79.99,80.15,80.31,80.47,80.61,80.76,80.9,81.03,81.17,81.31,81.44,81.58,81.72,81.85,81.99,82.13,82.27,82.41,82.55,82.69,82.82,82.96,83.09,83.23,83.36,83.49,83.61,83.74,83.87,83.99,84.11,84.23,84.35,84.46,84.58,84.69,84.8,84.91,85.02,85.13,85.23,85.34,85.44,85.54,85.65,85.75,85.85,85.95,86.05,86.15,86.26,86.36,86.46,86.56,86.67,86.77,86.87,86.97,87.07,87.18,87.28,87.38,87.49,87.59,87.7,87.8,87.9,88.01,88.11,88.22,88.32
dza,Algeria,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,20,15,22,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,28.82,21,11,15,22,28.87,28.91,28.96,29,29.04,29.09,29.13,29.18,29.22,29.26,29.31,29.35,29.4,29.44,29.49,29.53,29.57,29.62,29.66,29.71,29.75,29.8,29.84,29.88,29.93,29.97,30.02,30.06,30.1,30.19,30.28,30.36,31.37,25.37,28.13,29.57,29.52,29.46,31.01,32.68,32.43,33.84,31.62,31.13,30.64,30.28,30.33,23.68,30.41,29.61,29.65,29.39,32.03,33.53,34.31,33.63,28.8,32.44,32.67,34,31.91,33.29,34.57,33.97,35.85,37.11,35.2,34.56,36.89,37.34,35.59,34.93,30.22,35.74,33.45,35.73,39.13,42.32,44.78,47.25,47.54,48.05,48.57,49.1,49.64,50.19,50.76,51.33,51.92,52.5,53.1,53.69,54.28,54.87,55.44,55.99,56.53,57.05,57.56,58.09,58.36,58.77,59.16,59.68,60.12,60.62,61.21,61.81,62.5,62.78,64.03,65.08,66.36,67.56,68.74,69.45,70.16,70.77,71.29,71.74,72.16,72.46,72.7,72.77,72.93,73.35,73.2,73.54,73.9,73.96,74.22,74.51,74.56,75.04,75.29,75.49,75.65,75.89,76.09,76.33,76.52,76.77,76.88,76.95,77.12,77.4,77.74,77.93,78.12,78.31,78.49,78.67,78.85,79.03,79.21,79.39,79.56,79.74,79.91,80.08,80.25,80.42,80.58,80.75,80.91,81.08,81.24,81.4,81.56,81.72,81.88,82.03,82.19,82.35,82.5,82.66,82.81,82.96,83.11,83.26,83.41,83.56,83.71,83.85,84,84.14,84.28,84.42,84.56,84.69,84.83,84.96,85.09,85.22,85.35,85.48,85.6,85.73,85.85,85.97,86.09,86.21,86.32,86.44,86.55,86.66,86.77,86.88,86.99,87.09,87.19,87.3,87.4,87.51,87.61,87.72,87.83,87.93,88.04,88.15,88.26,88.36,88.47,88.57,88.68,88.79,88.89,88.99,89.1,89.2
and,Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.48,75.78,76.1,76.42,76.7,76.95,77.22,77.52,77.82,78.08,78.24,78.31,78.28,78.32,78.46,78.58,78.67,78.75,78.83,78.91,79,79.08,79.12,79.31,79.47,79.74,80.03,80.35,80.64,80.91,81.15,81.36,81.56,81.67,81.7,81.82,81.98,82.1,82.18,82.22,82.29,82.37,82.41,82.46,82.52,82.62,82.66,82.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ago,Angola,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,26.98,27.05,27.12,27.19,27.25,27.32,27.39,27.46,27.53,27.6,27.67,27.74,27.8,27.87,27.94,28.01,28.08,28.15,28.22,28.29,28.35,28.42,28.49,28.56,28.63,28.7,28.77,28.84,28.9,28.97,29.04,29.11,29.18,29.25,29.32,29.39,29.45,29.52,29.59,29.66,29.73,29.8,29.87,29.94,30,30.07,30.14,30.21,11.71,30.35,30.42,30.49,30.55,30.62,30.69,30.76,30.83,30.9,30.97,31.04,31.1,31.17,31.24,31.31,31.38,31.45,31.52,31.59,31.65,31.72,31.79,32.12,32.46,32.79,33.13,33.46,33.8,34.14,34.48,34.82,35.16,35.48,36.03,36.59,37.15,37.71,38.27,38.84,39.41,39.99,40.56,41.14,41.72,42.31,42.89,43.48,44.07,44.67,45.27,45.87,46.47,46.69,46.87,47.09,47.29,47.24,47.22,47.28,47.39,47.47,47.6,47.66,47.7,47.73,47.83,47.92,47.89,47.67,47.46,47.83,47.87,48.5,48.56,47.29,48.66,49.53,50.09,50.17,49.25,50.72,51.66,52.41,53.52,54.22,54.77,55.72,56.37,57.51,58.39,59.15,59.94,60.63,61.26,61.91,62.75,63.29,63.76,64.19,64.61,65,65.36,65.71,66.04,66.36,66.68,67,67.32,67.63,67.94,68.24,68.53,68.81,69.08,69.35,69.62,69.88,70.13,70.37,70.61,70.84,71.06,71.28,71.49,71.69,71.89,72.09,72.28,72.47,72.65,72.83,73.01,73.18,73.35,73.52,73.68,73.85,74,74.16,74.31,74.47,74.61,74.76,74.91,75.05,75.19,75.33,75.47,75.6,75.74,75.88,76.01,76.15,76.28,76.42,76.55,76.68,76.82,76.95,77.07,77.2,77.33,77.46,77.58,77.71,77.84,77.97,78.1,78.23,78.36,78.48,78.61,78.74,78.87,79,79.13,79.26,79.39,79.52,79.65,79.79,79.92
atg,Antigua and Barbuda,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.54,33.55,33.56,33.57,33.57,33.58,33.59,33.59,33.6,33.61,33.62,33.62,33.63,33.64,33.65,33.65,33.66,33.67,33.67,33.68,33.69,33.7,33.7,33.71,33.72,33.73,33.73,33.74,33.75,33.75,33.76,33.77,33.78,33.78,33.79,33.8,33.81,33.81,33.82,33.83,33.83,33.84,33.85,33.86,33.86,33.87,33.88,21.98,33.89,33.9,33.91,34.75,35.6,36.44,37.29,38.13,38.98,39.82,40.67,41.52,42.37,43.21,44.06,44.91,45.76,46.61,47.46,48.31,49.16,50.01,50.86,51.71,52.56,53.41,54.27,55.12,55.97,56.83,57.68,58.53,58.8,59.32,59.84,60.35,60.86,61.37,61.87,62.36,62.85,63.33,63.79,64.24,64.66,65.08,65.47,65.85,66.23,66.6,66.97,67.33,67.72,68.11,68.54,68.75,68.92,69.12,69.47,69.85,70.49,71.08,71.59,72.06,72.58,72.78,73.01,73.33,73.65,73.85,74.03,74.3,74.54,74.44,74.31,74.25,74.12,74.22,74.38,74.52,74.6,74.72,74.94,75.18,75.43,75.61,75.85,76.01,76.28,76.43,76.59,76.61,76.66,76.74,76.82,76.77,76.87,76.97,77.02,77.15,77.28,77.41,77.54,77.67,77.8,77.93,78.06,78.19,78.32,78.45,78.58,78.71,78.84,78.97,79.1,79.23,79.36,79.49,79.61,79.74,79.87,79.99,80.12,80.25,80.37,80.5,80.63,80.76,80.88,81.01,81.14,81.27,81.4,81.52,81.65,81.78,81.91,82.03,82.16,82.28,82.41,82.54,82.66,82.79,82.91,83.04,83.16,83.29,83.41,83.53,83.66,83.78,83.9,84.02,84.13,84.25,84.37,84.48,84.6,84.71,84.82,84.93,85.04,85.15,85.26,85.37,85.47,85.58,85.68,85.78,85.89,85.99,86.09,86.19,86.29,86.39,86.49,86.59,86.69,86.79,86.88,86.98
arg,Argentina,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.2,33.19,33.19,33.18,33.18,33.15,33.13,33.1,33.08,33.06,32.95,32.85,32.74,32.64,32.53,32.81,33.08,33.36,33.63,33.91,33.76,33.62,33.48,33.33,33.19,33.88,34.57,35.27,35.96,36.65,37.22,37.8,38.37,38.94,39.51,40.27,41.02,41.77,42.52,43.27,43.8,44.33,44.86,45.39,45.92,46.71,47.5,41.5,49.08,49.86,50.33,50.8,51.27,51.74,52.21,52.54,52.87,53.2,53.53,53.86,53.86,53.85,53.84,53.83,53.83,54.77,55.72,56.66,57.6,58.55,59.11,59.68,60.25,60.81,61.38,61.25,61.13,61.01,60.88,60.76,61.06,61.64,62.16,62.62,63.02,63.37,63.66,63.9,64.09,64.24,64.35,64.43,64.5,64.57,64.65,64.76,64.91,65.09,65.31,65.56,65.85,66.19,66.63,66.99,67.55,67.97,68.41,69.05,69.59,70.07,70.37,70.77,70.84,71.15,71.55,71.81,71.99,72.13,72.27,72.36,72.59,72.59,72.92,73.26,73.35,73.32,73.48,73.53,73.62,74.18,74.29,74.21,74.32,74.91,75.26,75.36,75.11,75.52,75.62,75.82,75.9,76.01,76.1,76.37,76.53,76.54,76.66,76.81,76.96,77.1,77.25,77.39,77.54,77.68,77.83,77.98,78.13,78.28,78.43,78.58,78.72,78.87,79.02,79.17,79.32,79.47,79.62,79.76,79.91,80.06,80.21,80.36,80.5,80.65,80.8,80.95,81.1,81.25,81.4,81.54,81.69,81.84,81.99,82.13,82.27,82.42,82.56,82.7,82.84,82.98,83.12,83.25,83.39,83.52,83.65,83.77,83.9,84.02,84.15,84.27,84.39,84.51,84.63,84.75,84.87,84.98,85.1,85.21,85.33,85.44,85.55,85.67,85.78,85.89,86,86.11,86.22,86.33,86.44,86.55,86.66,86.76,86.87,86.98,87.09,87.19,87.3,87.4,87.51,87.61
arm,Armenia,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,33.47,32.95,32.42,31.9,31.38,31.42,31.46,31.49,31.51,31.53,31.71,31.88,32.06,32.24,32.41,32.59,32.77,32.94,33.12,33.29,33.47,33.64,33.82,33.99,34.16,34.34,34.51,34.68,34.86,35.03,35.2,35.37,35.54,35.71,35.53,35.34,35.15,35.37,35.59,35.81,36.03,36.24,36.46,36.68,36.9,37.12,37.33,40.18,40.56,38.43,38,37.59,37.56,34.63,26.1,35.74,27.03,36.66,37.6,38.4,40.78,39.89,42.93,42.26,43.68,42.46,41.77,40.23,37.8,31.56,43.91,45.37,46.93,45.95,47.52,49.77,47.38,26.62,23.28,21.36,28.46,37.45,53.81,46.19,53.79,56.4,58.53,58.69,59.05,59.4,59.76,60.11,60.46,60.81,61.16,61.51,61.86,62.22,62.58,62.94,63.31,63.67,64.03,64.38,64.71,65.02,65.29,65.88,66.37,66.89,67.38,67.8,68.26,68.65,68.97,69.22,69.44,69.75,70.17,70.12,70.45,70.51,71,71.18,54.86,70.44,70.06,69.69,68.62,68.93,69.36,69.87,70.33,70.96,71.53,71.94,72.35,72.61,72.74,72.92,73.19,73.36,73.56,73.89,73.85,73.9,74.05,74.35,74.74,75.15,75.31,75.32,75.37,75.61,75.76,75.9,76.04,76.18,76.31,76.45,76.59,76.72,76.86,77,77.14,77.28,77.42,77.55,77.69,77.83,77.96,78.1,78.23,78.37,78.5,78.64,78.77,78.91,79.04,79.17,79.31,79.44,79.57,79.7,79.84,79.97,80.1,80.24,80.37,80.5,80.64,80.77,80.91,81.04,81.18,81.32,81.45,81.59,81.72,81.86,81.99,82.13,82.26,82.39,82.53,82.66,82.79,82.92,83.05,83.18,83.31,83.44,83.57,83.7,83.82,83.95,84.07,84.19,84.32,84.44,84.56,84.68,84.8,84.91,85.03,85.15,85.26,85.37,85.48,85.6,85.71,85.82,85.93,86.04,86.16,86.27,86.38
aus,Australia,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.05,34.58,35.11,35.64,36.17,36.7,37.23,37.76,38.29,38.82,39.36,39.89,40.42,40.95,41.48,42.01,42.54,43.07,43.6,44.13,44.66,45.2,45.73,46.26,46.79,47.32,47.85,48.38,48.91,49.45,49.98,50.51,51.04,51.57,52.1,52.64,53.17,53.7,54.23,54.76,55.29,55.83,56.36,56.89,57.42,57.95,58.49,59.02,54.89,60.08,60.61,61.15,63,61.84,62.65,63.34,63.06,63.03,63.08,63.28,65.09,65.53,65.83,65.66,65.02,65.29,65.42,65.98,66.02,65.97,66.42,66.3,66.04,66.57,68.2,68.64,68.16,68.77,68.69,69.32,69.21,68.91,69.31,69.9,70.05,70.37,70.26,70.54,71.09,70.66,71.11,71.38,71.15,71.22,70.88,71.21,71.05,71.34,70.97,71.38,71.05,71.31,71.63,71.89,72.06,72.55,72.89,73.28,73.7,74.11,74.42,74.69,74.85,75.18,75.36,75.5,75.84,76.04,76.26,76.43,76.87,77.31,77.44,77.85,77.87,78.19,78.32,78.63,78.93,79.26,79.55,79.95,80.15,80.49,80.81,81.15,81.4,81.4,81.52,81.69,81.96,82.13,82.48,82.62,82.54,82.48,82.5,82.39,82.55,82.7,82.85,83,83.13,83.27,83.39,83.52,83.64,83.76,83.88,84,84.12,84.25,84.37,84.49,84.61,84.73,84.84,84.96,85.07,85.19,85.3,85.42,85.53,85.65,85.76,85.88,85.99,86.11,86.22,86.33,86.44,86.56,86.67,86.78,86.89,87.01,87.12,87.23,87.34,87.46,87.57,87.68,87.79,87.91,88.02,88.13,88.25,88.36,88.47,88.59,88.7,88.81,88.93,89.04,89.15,89.26,89.37,89.48,89.59,89.7,89.81,89.92,90.03,90.15,90.26,90.37,90.49,90.6,90.71,90.82,90.93,91.04,91.15,91.26,91.37,91.48,91.59,91.7,91.81,91.92,92.03
aut,Austria,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.4,34.46,34.51,34.57,34.62,34.68,34.73,34.79,34.85,34.9,34.96,35.01,35.24,35.48,35.71,35.94,36.17,36.4,36.63,36.86,37.09,37.33,37.8,38.27,38.74,39.21,39.68,40.16,40.63,41.1,41.57,42.04,41.09,40.14,40.77,41.4,42.03,42.65,43.28,43.91,44.53,45.16,45.73,46.3,46.87,47.44,48.01,48.58,32.49,49.72,50.29,50.86,51.43,52,52.57,53.14,53.71,54.28,54.86,55.43,56,56.57,56.87,57.18,57.49,57.79,58.1,58.4,58.71,58.23,57.94,56.63,54.23,50.32,39.2,31.48,56.14,61.47,63.4,63.6,65.05,65.44,66.98,67.48,67.51,67.79,67.91,67.68,68.69,68.62,68.99,69.96,69.75,69.89,70.38,70.17,70.49,70.37,70.52,70.29,70.34,70.48,70.72,71.09,71.26,71.55,71.95,72.26,72.45,72.66,72.83,73.07,73.28,73.51,73.87,74.19,74.59,74.96,75.33,75.56,75.83,75.87,76.08,76.23,76.56,76.85,77.09,77.58,77.8,78.04,78.29,78.73,78.92,79.03,79.41,79.64,80.1,80.22,80.44,80.35,80.58,80.79,81.02,81.21,81.39,81.48,81.69,81.77,81.87,81.98,82.11,82.25,82.4,82.56,82.72,82.88,83.05,83.21,83.38,83.55,83.71,83.87,84.03,84.18,84.32,84.46,84.58,84.71,84.83,84.96,85.08,85.2,85.32,85.44,85.56,85.67,85.79,85.91,86.03,86.14,86.26,86.37,86.48,86.6,86.71,86.82,86.94,87.05,87.16,87.27,87.38,87.49,87.61,87.72,87.83,87.94,88.05,88.17,88.28,88.39,88.5,88.61,88.72,88.83,88.94,89.05,89.16,89.27,89.38,89.49,89.6,89.71,89.82,89.93,90.04,90.15,90.26,90.37,90.48,90.59,90.7,90.81,90.92,91.03,91.13,91.24,91.35,91.46,91.57,91.68,91.79
